date;Stacey Dooley;Hulk;Indonesia;Communism;air travel;isPartial
2022-01-01;15;80;52;7;12;False
2022-01-02;15;85;45;17;22;False
2022-01-03;12;100;55;17;18;False
2022-01-04;10;82;42;13;19;False
2022-01-05;7;85;38;21;27;False
2022-01-06;8;70;56;15;21;False
2022-01-07;10;77;54;14;22;False
2022-01-08;23;83;54;12;25;False
2022-01-09;12;99;52;16;19;False
2022-01-10;8;60;54;20;34;False
2022-01-11;15;64;49;17;28;False
2022-01-12;11;64;48;14;24;False
2022-01-13;11;70;52;21;35;False
2022-01-14;9;79;52;15;29;False
2022-01-15;17;99;64;8;23;False
2022-01-16;16;91;42;29;25;False
2022-01-17;11;66;65;11;23;False
2022-01-18;6;65;58;14;21;False
2022-01-19;48;42;40;15;26;False
2022-01-20;40;61;48;17;19;False
2022-01-21;29;74;47;16;13;False
2022-01-22;18;70;41;11;19;False
2022-01-23;19;86;66;16;24;False
2022-01-24;25;66;65;17;34;False
2022-01-25;46;55;60;19;17;False
2022-01-26;38;56;64;18;22;False
2022-01-27;33;47;45;16;25;False
2022-01-28;17;79;44;11;17;False
2022-01-29;19;86;43;18;21;False
2022-01-30;16;76;39;14;25;False
2022-01-31;18;61;45;14;29;False
