date;Middle East and north Africa;Science fiction books;Jonathan Swift;Malorie Blackman;air travel;isPartial
2022-01-01;0;0;0;5;34;False
2022-01-02;0;0;0;0;63;False
2022-01-03;0;12;4;9;51;False
2022-01-04;0;0;9;0;54;False
2022-01-05;0;0;0;10;77;False
2022-01-06;0;0;4;24;61;False
2022-01-07;0;6;0;8;63;False
2022-01-08;0;0;0;0;71;False
2022-01-09;0;0;0;5;55;False
2022-01-10;0;12;0;0;97;False
2022-01-11;0;18;0;21;79;False
2022-01-12;0;0;0;6;67;False
2022-01-13;14;7;0;7;100;False
2022-01-14;0;9;0;0;84;False
2022-01-15;10;8;0;0;66;False
2022-01-16;0;0;0;7;72;False
2022-01-17;6;0;0;0;65;False
2022-01-18;0;5;0;9;59;False
2022-01-19;0;0;0;0;74;False
2022-01-20;7;8;0;0;54;False
2022-01-21;0;0;0;20;38;False
2022-01-22;0;13;0;0;53;False
2022-01-23;0;0;0;8;69;False
2022-01-24;0;0;0;7;97;False
2022-01-25;14;0;7;0;49;False
2022-01-26;0;0;8;0;64;False
2022-01-27;0;0;0;7;71;False
2022-01-28;7;9;0;15;49;False
2022-01-29;0;0;0;6;60;False
2022-01-30;21;0;0;0;71;False
2022-01-31;0;0;0;0;82;False
