date;Milan fashion week;Jeff Goldblum;Prada;Ulster Rugby;air travel;isPartial
2022-01-01;0;5;100;1;6;False
2022-01-02;0;6;67;5;12;False
2022-01-03;0;5;64;2;9;False
2022-01-04;0;2;59;0;10;False
2022-01-05;0;0;56;0;14;False
2022-01-06;1;3;49;7;11;False
2022-01-07;0;3;56;7;12;False
2022-01-08;5;4;65;29;13;False
2022-01-09;0;2;74;8;10;False
2022-01-10;0;3;62;6;18;False
2022-01-11;0;3;48;5;15;False
2022-01-12;1;2;52;8;12;False
2022-01-13;0;1;57;6;18;False
2022-01-14;3;3;53;5;15;False
2022-01-15;0;5;75;16;12;False
2022-01-16;0;7;71;28;13;False
2022-01-17;0;8;58;7;12;False
2022-01-18;0;3;51;9;11;False
2022-01-19;0;4;48;4;14;False
2022-01-20;0;2;45;4;10;False
2022-01-21;1;4;48;12;7;False
2022-01-22;0;6;72;48;10;False
2022-01-23;0;7;66;15;13;False
2022-01-24;1;4;64;7;18;False
2022-01-25;1;4;56;7;9;False
2022-01-26;0;4;44;7;12;False
2022-01-27;1;5;44;10;13;False
2022-01-28;1;4;50;39;9;False
2022-01-29;0;4;65;14;11;False
2022-01-30;0;4;54;7;13;False
2022-01-31;1;3;50;4;15;False
