date;UK civil liberties;Smartphones;Kazakhstan;Super Bowl;air travel;isPartial
2022-01-01;0;2;4;11;4;False
2022-01-02;0;2;4;17;7;False
2022-01-03;1;2;1;18;6;False
2022-01-04;0;1;7;18;6;False
2022-01-05;2;2;69;13;8;False
2022-01-06;0;2;98;8;7;False
2022-01-07;0;2;100;11;7;False
2022-01-08;0;1;52;14;8;False
2022-01-09;1;2;40;25;6;False
2022-01-10;0;2;37;25;10;False
2022-01-11;0;1;17;17;8;False
2022-01-12;0;2;12;17;7;False
2022-01-13;0;3;12;17;11;False
2022-01-14;0;2;11;13;9;False
2022-01-15;0;1;6;27;7;False
2022-01-16;0;3;8;43;8;False
2022-01-17;0;1;7;23;7;False
2022-01-18;0;2;7;19;6;False
2022-01-19;0;1;4;14;8;False
2022-01-20;0;2;5;24;6;False
2022-01-21;0;3;8;30;4;False
2022-01-22;0;2;5;41;6;False
2022-01-23;1;1;3;62;7;False
2022-01-24;0;3;6;48;10;False
2022-01-25;0;3;6;21;5;False
2022-01-26;0;3;5;21;7;False
2022-01-27;0;3;6;21;8;False
2022-01-28;0;1;4;19;5;False
2022-01-29;0;1;1;45;6;False
2022-01-30;0;1;2;77;8;False
2022-01-31;1;2;4;97;9;False
