date;caroline flack;sag awards;neymar;energy crisis;air travel;isPartial
2022-01-01;9;0;27;0;11;False
2022-01-02;10;0;32;0;23;False
2022-01-03;5;0;30;5;22;False
2022-01-04;7;0;23;2;24;False
2022-01-05;10;0;30;0;30;False
2022-01-06;8;0;23;7;24;False
2022-01-07;6;0;23;11;27;False
2022-01-08;20;0;21;5;26;False
2022-01-09;24;0;37;8;19;False
2022-01-10;10;0;28;9;32;False
2022-01-11;12;5;34;5;26;False
2022-01-12;9;18;49;5;31;False
2022-01-13;9;11;49;7;31;False
2022-01-14;6;6;29;6;31;False
2022-01-15;8;0;32;0;26;False
2022-01-16;9;3;32;2;30;False
2022-01-17;7;2;33;8;22;False
2022-01-18;16;0;27;10;23;False
2022-01-19;5;0;23;8;30;False
2022-01-20;11;0;19;8;14;False
2022-01-21;7;0;26;6;10;False
2022-01-22;9;0;40;6;25;False
2022-01-23;8;0;33;3;28;False
2022-01-24;0;0;27;8;31;False
2022-01-25;6;0;68;5;18;False
2022-01-26;31;0;86;7;24;False
2022-01-27;7;0;62;8;20;False
2022-01-28;18;2;79;6;18;False
2022-01-29;8;0;89;5;19;False
2022-01-30;14;0;100;4;24;False
2022-01-31;5;8;64;7;32;False
