date;Margaret Atwood;EM Forster;HG Wells;Joanna Kavenna;air travel;isPartial
2022-01-01;6;11;6;0;34;False
2022-01-02;27;0;17;0;63;False
2022-01-03;11;0;7;0;51;False
2022-01-04;11;10;7;5;54;False
2022-01-05;6;11;0;0;77;False
2022-01-06;10;0;11;0;61;False
2022-01-07;15;0;0;0;63;False
2022-01-08;8;6;0;0;71;False
2022-01-09;0;0;5;16;55;False
2022-01-10;7;0;5;8;97;False
2022-01-11;5;0;0;0;79;False
2022-01-12;0;0;0;0;67;False
2022-01-13;0;0;0;0;100;False
2022-01-14;0;8;0;0;84;False
2022-01-15;10;0;5;0;66;False
2022-01-16;17;16;0;0;72;False
2022-01-17;0;0;10;17;65;False
2022-01-18;19;0;0;0;59;False
2022-01-19;17;7;0;0;74;False
2022-01-20;9;0;16;0;54;False
2022-01-21;7;0;0;0;38;False
2022-01-22;13;0;0;0;53;False
2022-01-23;10;0;0;5;69;False
2022-01-24;0;7;4;0;97;False
2022-01-25;9;0;9;4;49;False
2022-01-26;9;0;12;0;64;False
2022-01-27;5;8;0;10;71;False
2022-01-28;8;0;0;0;49;False
2022-01-29;5;6;0;0;60;False
2022-01-30;5;0;12;0;71;False
2022-01-31;19;0;0;0;82;False
