date;us capitol;us election 2024;bloody sunday;pfizer-biontech vaccine;air travel;isPartial
2022-01-01;0;0;2;0;4;False
2022-01-02;3;0;1;0;7;False
2022-01-03;0;0;1;0;6;False
2022-01-04;0;1;1;0;6;False
2022-01-05;1;0;2;2;9;False
2022-01-06;0;1;1;0;7;False
2022-01-07;0;1;1;0;8;False
2022-01-08;0;0;0;0;8;False
2022-01-09;1;1;1;0;7;False
2022-01-10;0;0;1;1;11;False
2022-01-11;0;0;1;0;9;False
2022-01-12;0;0;1;1;8;False
2022-01-13;0;0;1;0;12;False
2022-01-14;0;0;2;0;10;False
2022-01-15;1;0;1;0;8;False
2022-01-16;0;0;1;0;9;False
2022-01-17;0;0;1;1;8;False
2022-01-18;1;1;1;1;7;False
2022-01-19;0;1;2;0;9;False
2022-01-20;0;0;2;0;6;False
2022-01-21;1;0;3;0;5;False
2022-01-22;0;0;4;1;6;False
2022-01-23;0;0;7;0;8;False
2022-01-24;0;1;4;0;12;False
2022-01-25;1;0;3;1;6;False
2022-01-26;0;0;10;0;8;False
2022-01-27;0;1;3;0;8;False
2022-01-28;0;0;16;0;6;False
2022-01-29;1;1;31;0;7;False
2022-01-30;0;0;100;1;8;False
2022-01-31;0;0;21;0;10;False
