date;Rest and relaxation;Triple J Hottest 100;Microbiology;Biology;air travel;isPartial
2022-01-01;0;0;0;30;5;False
2022-01-02;1;0;3;40;9;False
2022-01-03;0;0;3;48;7;False
2022-01-04;0;0;4;67;8;False
2022-01-05;0;1;3;70;11;False
2022-01-06;0;0;2;67;9;False
2022-01-07;1;0;7;53;9;False
2022-01-08;1;0;1;55;10;False
2022-01-09;1;0;3;73;8;False
2022-01-10;0;0;4;99;14;False
2022-01-11;0;0;5;83;11;False
2022-01-12;0;2;3;82;9;False
2022-01-13;0;0;4;92;14;False
2022-01-14;0;0;3;59;12;False
2022-01-15;2;0;5;59;9;False
2022-01-16;0;3;2;72;10;False
2022-01-17;0;0;6;92;9;False
2022-01-18;0;0;4;90;8;False
2022-01-19;0;3;6;80;10;False
2022-01-20;0;0;3;78;8;False
2022-01-21;1;1;4;63;5;False
2022-01-22;0;6;3;50;7;False
2022-01-23;2;0;2;73;10;False
2022-01-24;3;0;5;100;14;False
2022-01-25;1;0;4;83;7;False
2022-01-26;1;2;5;69;9;False
2022-01-27;1;0;6;74;10;False
2022-01-28;0;0;2;59;7;False
2022-01-29;2;0;3;45;8;False
2022-01-30;1;0;3;60;10;False
2022-01-31;0;0;3;77;12;False
