date;Espionage;Suella Braverman;Daily Telegraph;Peppa Pig;air travel;isPartial
2022-01-01;3;0;42;83;6;False
2022-01-02;2;0;30;94;10;False
2022-01-03;2;0;29;80;8;False
2022-01-04;1;0;35;68;9;False
2022-01-05;2;0;36;66;13;False
2022-01-06;1;1;30;59;10;False
2022-01-07;1;13;31;69;10;False
2022-01-08;2;11;27;79;12;False
2022-01-09;1;0;25;82;9;False
2022-01-10;2;3;32;69;16;False
2022-01-11;3;0;33;67;13;False
2022-01-12;5;2;31;60;11;False
2022-01-13;2;1;43;61;16;False
2022-01-14;0;0;35;69;14;False
2022-01-15;2;2;28;87;11;False
2022-01-16;2;0;30;100;12;False
2022-01-17;0;0;33;63;11;False
2022-01-18;2;3;36;62;10;False
2022-01-19;2;1;32;66;12;False
2022-01-20;2;0;34;69;9;False
2022-01-21;3;2;31;68;6;False
2022-01-22;1;0;33;90;9;False
2022-01-23;0;2;28;74;11;False
2022-01-24;5;0;38;72;16;False
2022-01-25;2;0;32;61;8;False
2022-01-26;3;2;32;66;10;False
2022-01-27;3;0;33;63;12;False
2022-01-28;3;0;31;76;8;False
2022-01-29;0;0;33;87;10;False
2022-01-30;0;0;29;67;12;False
2022-01-31;3;0;37;66;13;False
