date;Sexuality;Religion;Northern Territory politics;National party;air travel;isPartial
2022-01-01;28;80;0;0;7;False
2022-01-02;46;87;0;3;13;False
2022-01-03;20;73;0;1;11;False
2022-01-04;23;74;0;4;11;False
2022-01-05;20;80;0;2;16;False
2022-01-06;15;74;0;4;13;False
2022-01-07;19;74;0;1;13;False
2022-01-08;21;75;0;2;15;False
2022-01-09;25;96;0;1;12;False
2022-01-10;15;91;0;3;21;False
2022-01-11;18;82;0;0;17;False
2022-01-12;17;77;0;5;14;False
2022-01-13;16;98;0;2;21;False
2022-01-14;15;69;0;1;18;False
2022-01-15;20;82;0;3;14;False
2022-01-16;16;91;0;0;15;False
2022-01-17;15;83;0;1;14;False
2022-01-18;21;69;0;0;13;False
2022-01-19;21;74;0;3;16;False
2022-01-20;22;71;0;1;12;False
2022-01-21;18;68;0;2;8;False
2022-01-22;16;72;0;3;11;False
2022-01-23;20;100;0;3;15;False
2022-01-24;25;96;0;2;21;False
2022-01-25;16;74;0;3;11;False
2022-01-26;19;68;0;2;14;False
2022-01-27;18;71;0;3;15;False
2022-01-28;20;65;0;0;11;False
2022-01-29;19;78;0;5;13;False
2022-01-30;19;79;0;3;15;False
2022-01-31;21;70;0;2;18;False
