date;Oliver Sacks;Carrie Lam;Andrew Lloyd Webber;Cannabis;air travel;isPartial
2022-01-01;2;0;4;61;11;False
2022-01-02;0;0;4;61;21;False
2022-01-03;3;0;5;59;17;False
2022-01-04;2;0;6;99;18;False
2022-01-05;0;2;4;65;26;False
2022-01-06;0;0;2;75;21;False
2022-01-07;0;4;4;64;21;False
2022-01-08;2;2;4;79;24;False
2022-01-09;0;0;11;75;19;False
2022-01-10;3;0;4;69;33;False
2022-01-11;2;0;2;74;27;False
2022-01-12;0;0;6;76;23;False
2022-01-13;0;2;3;100;34;False
2022-01-14;2;0;2;78;28;False
2022-01-15;0;0;5;71;22;False
2022-01-16;0;0;4;70;24;False
2022-01-17;0;0;4;78;22;False
2022-01-18;0;2;4;64;20;False
2022-01-19;0;0;4;70;25;False
2022-01-20;0;0;4;70;18;False
2022-01-21;0;0;5;59;13;False
2022-01-22;0;4;3;67;18;False
2022-01-23;0;0;0;61;23;False
2022-01-24;0;0;0;78;33;False
2022-01-25;0;0;4;72;17;False
2022-01-26;0;0;2;88;22;False
2022-01-27;2;0;3;71;24;False
2022-01-28;0;0;7;68;17;False
2022-01-29;0;3;21;60;20;False
2022-01-30;0;0;28;65;24;False
2022-01-31;0;0;6;53;28;False
