date;olympics;mason greenwood;sue gray report;migrant crossings;air travel;isPartial
2022-01-01;1;0;0;0;0;False
2022-01-02;1;0;0;0;0;False
2022-01-03;1;0;0;0;0;False
2022-01-04;1;0;0;0;0;False
2022-01-05;1;0;0;0;0;False
2022-01-06;1;0;0;0;0;False
2022-01-07;1;0;0;0;0;False
2022-01-08;1;0;0;0;0;False
2022-01-09;1;0;0;0;0;False
2022-01-10;1;0;0;0;0;False
2022-01-11;1;0;0;0;0;False
2022-01-12;1;0;0;0;0;False
2022-01-13;1;0;0;0;0;False
2022-01-14;1;0;0;0;0;False
2022-01-15;1;0;0;0;0;False
2022-01-16;1;0;0;0;0;False
2022-01-17;1;0;0;0;0;False
2022-01-18;1;0;0;0;0;False
2022-01-19;1;0;0;0;0;False
2022-01-20;1;0;0;0;0;False
2022-01-21;1;0;0;0;0;False
2022-01-22;1;0;0;0;0;False
2022-01-23;1;0;0;0;0;False
2022-01-24;1;0;0;0;0;False
2022-01-25;1;0;0;0;0;False
2022-01-26;1;0;1;0;0;False
2022-01-27;1;0;1;0;0;False
2022-01-28;1;0;2;0;0;False
2022-01-29;1;0;1;0;0;False
2022-01-30;2;100;0;0;0;False
2022-01-31;1;43;6;0;0;False
