date;department for education;national association of head teachers;state schools;association of school and college leaders (ascl);air travel;isPartial
2022-01-01;0;0;0;0;34;False
2022-01-02;13;0;14;0;63;False
2022-01-03;8;0;26;0;51;False
2022-01-04;24;0;22;0;54;False
2022-01-05;9;0;14;0;77;False
2022-01-06;15;9;0;0;61;False
2022-01-07;20;0;6;0;63;False
2022-01-08;0;0;19;0;71;False
2022-01-09;19;6;8;0;55;False
2022-01-10;28;0;13;0;97;False
2022-01-11;18;0;14;0;79;False
2022-01-12;15;10;16;0;67;False
2022-01-13;14;0;11;0;100;False
2022-01-14;6;0;10;0;84;False
2022-01-15;5;0;0;0;66;False
2022-01-16;6;0;20;0;72;False
2022-01-17;18;0;6;0;65;False
2022-01-18;13;8;15;0;59;False
2022-01-19;16;0;16;0;74;False
2022-01-20;7;21;10;0;54;False
2022-01-21;20;0;5;0;38;False
2022-01-22;7;0;64;0;53;False
2022-01-23;0;0;24;0;69;False
2022-01-24;13;0;7;0;97;False
2022-01-25;7;0;15;0;49;False
2022-01-26;9;0;13;0;64;False
2022-01-27;12;0;11;0;71;False
2022-01-28;20;0;9;0;49;False
2022-01-29;0;0;7;0;60;False
2022-01-30;0;0;18;0;71;False
2022-01-31;7;7;14;0;82;False
