date;jeremy hunt;national insurance;liz truss;belfast;air travel;isPartial
2022-01-01;0;4;1;57;1;False
2022-01-02;0;5;3;62;2;False
2022-01-03;0;6;1;63;1;False
2022-01-04;0;11;1;66;1;False
2022-01-05;0;10;1;63;2;False
2022-01-06;0;11;1;65;2;False
2022-01-07;0;11;1;64;2;False
2022-01-08;0;7;1;62;2;False
2022-01-09;0;7;3;62;1;False
2022-01-10;1;11;1;69;2;False
2022-01-11;0;11;2;61;2;False
2022-01-12;1;11;6;60;2;False
2022-01-13;1;13;7;67;3;False
2022-01-14;0;9;7;62;2;False
2022-01-15;1;6;4;68;2;False
2022-01-16;0;8;2;67;2;False
2022-01-17;0;11;1;66;2;False
2022-01-18;1;12;3;64;2;False
2022-01-19;1;11;3;66;2;False
2022-01-20;0;10;2;79;1;False
2022-01-21;0;11;2;89;1;False
2022-01-22;0;7;2;100;1;False
2022-01-23;0;8;2;91;2;False
2022-01-24;0;16;2;91;3;False
2022-01-25;0;13;2;75;1;False
2022-01-26;0;14;7;74;2;False
2022-01-27;0;16;13;68;2;False
2022-01-28;0;21;6;76;1;False
2022-01-29;0;14;2;87;2;False
2022-01-30;0;25;7;72;2;False
2022-01-31;0;23;5;71;2;False
