date;Hotels;London holidays;Faroe Islands;Nigeria;air travel;isPartial
2022-01-01;59;2;0;5;1;False
2022-01-02;69;2;0;6;1;False
2022-01-03;90;3;0;5;1;False
2022-01-04;64;2;1;6;1;False
2022-01-05;67;2;0;6;1;False
2022-01-06;61;2;0;7;1;False
2022-01-07;70;2;0;7;1;False
2022-01-08;83;2;0;6;1;False
2022-01-09;100;3;0;8;1;False
2022-01-10;92;3;0;9;2;False
2022-01-11;80;2;0;25;1;False
2022-01-12;70;1;0;10;1;False
2022-01-13;83;2;0;8;2;False
2022-01-14;62;1;0;7;1;False
2022-01-15;86;2;0;15;1;False
2022-01-16;88;2;0;8;1;False
2022-01-17;86;2;0;7;1;False
2022-01-18;73;2;0;7;1;False
2022-01-19;72;2;0;12;1;False
2022-01-20;72;1;0;8;1;False
2022-01-21;61;1;0;7;1;False
2022-01-22;79;2;0;8;1;False
2022-01-23;94;2;0;23;1;False
2022-01-24;93;2;0;11;2;False
2022-01-25;74;1;0;7;1;False
2022-01-26;75;1;0;6;1;False
2022-01-27;67;1;0;6;1;False
2022-01-28;73;1;0;7;1;False
2022-01-29;77;2;0;6;1;False
2022-01-30;82;3;0;6;1;False
2022-01-31;82;2;1;7;1;False
