date;Tax and spending;Apps;Privacy;LG;air travel;isPartial
2022-01-01;0;84;10;68;2;False
2022-01-02;0;92;14;66;5;False
2022-01-03;0;100;14;75;4;False
2022-01-04;0;94;16;62;5;False
2022-01-05;0;80;19;60;5;False
2022-01-06;0;73;14;51;4;False
2022-01-07;0;73;16;54;5;False
2022-01-08;0;84;13;64;5;False
2022-01-09;0;82;15;65;4;False
2022-01-10;0;74;18;50;7;False
2022-01-11;0;84;19;53;5;False
2022-01-12;0;73;18;47;6;False
2022-01-13;0;71;17;48;6;False
2022-01-14;0;67;14;48;6;False
2022-01-15;0;77;16;58;5;False
2022-01-16;0;89;13;60;6;False
2022-01-17;0;69;17;48;4;False
2022-01-18;0;63;14;39;5;False
2022-01-19;0;66;13;42;6;False
2022-01-20;0;66;15;42;4;False
2022-01-21;0;67;15;44;4;False
2022-01-22;0;74;12;54;3;False
2022-01-23;0;85;14;52;6;False
2022-01-24;0;92;20;55;6;False
2022-01-25;0;78;18;42;4;False
2022-01-26;0;69;16;43;5;False
2022-01-27;0;64;19;47;4;False
2022-01-28;0;67;17;49;5;False
2022-01-29;0;77;12;60;4;False
2022-01-30;0;72;14;56;6;False
2022-01-31;0;74;14;48;6;False
