date;Gardens;Women's Ashes;Australia women's cricket team;England women's cricket team;air travel;isPartial
2022-01-01;95;0;0;0;2;False
2022-01-02;100;0;0;0;4;False
2022-01-03;82;0;0;1;4;False
2022-01-04;83;0;0;0;5;False
2022-01-05;80;0;2;0;5;False
2022-01-06;69;0;0;0;5;False
2022-01-07;86;0;0;0;5;False
2022-01-08;74;0;0;0;4;False
2022-01-09;85;0;0;0;4;False
2022-01-10;81;0;0;0;7;False
2022-01-11;87;0;0;1;5;False
2022-01-12;83;0;0;1;5;False
2022-01-13;80;0;0;0;6;False
2022-01-14;90;0;1;0;5;False
2022-01-15;93;1;0;0;5;False
2022-01-16;97;0;0;0;6;False
2022-01-17;87;0;1;1;3;False
2022-01-18;80;0;0;0;5;False
2022-01-19;67;1;0;0;5;False
2022-01-20;76;2;0;0;3;False
2022-01-21;86;1;2;0;3;False
2022-01-22;89;0;1;0;4;False
2022-01-23;89;1;0;0;5;False
2022-01-24;98;0;0;0;7;False
2022-01-25;82;2;0;0;4;False
2022-01-26;81;1;1;0;5;False
2022-01-27;70;1;0;0;4;False
2022-01-28;89;2;0;1;4;False
2022-01-29;93;2;0;0;4;False
2022-01-30;96;2;0;0;6;False
2022-01-31;94;1;0;0;6;False
