date;Skiing;County Championship;Roman Britain;Newcastle;air travel;isPartial
2022-01-01;4;0;0;43;0;False
2022-01-02;6;0;0;46;1;False
2022-01-03;5;1;0;44;1;False
2022-01-04;4;0;0;46;1;False
2022-01-05;5;0;0;51;1;False
2022-01-06;4;0;0;47;1;False
2022-01-07;5;0;0;56;1;False
2022-01-08;6;0;0;100;1;False
2022-01-09;7;0;0;59;1;False
2022-01-10;6;0;0;51;1;False
2022-01-11;5;0;0;46;1;False
2022-01-12;5;0;0;45;1;False
2022-01-13;6;0;0;51;1;False
2022-01-14;4;0;0;43;1;False
2022-01-15;6;1;0;90;1;False
2022-01-16;9;1;0;48;1;False
2022-01-17;6;0;0;48;1;False
2022-01-18;5;0;0;44;1;False
2022-01-19;5;0;0;47;1;False
2022-01-20;5;0;0;46;1;False
2022-01-21;4;0;0;49;1;False
2022-01-22;5;0;0;79;1;False
2022-01-23;8;0;0;49;1;False
2022-01-24;6;0;0;54;1;False
2022-01-25;5;0;0;44;1;False
2022-01-26;4;0;0;47;1;False
2022-01-27;4;0;0;49;1;False
2022-01-28;4;0;0;50;1;False
2022-01-29;5;0;0;78;1;False
2022-01-30;6;1;0;61;1;False
2022-01-31;4;0;0;75;1;False
