date;bali;mexico;article 16;racism in football;air travel;isPartial
2022-01-01;21;73;1;1;3;False
2022-01-02;24;78;0;0;6;False
2022-01-03;26;77;0;0;5;False
2022-01-04;25;79;0;0;5;False
2022-01-05;22;75;0;1;7;False
2022-01-06;24;75;1;0;6;False
2022-01-07;21;77;0;0;6;False
2022-01-08;34;97;0;0;7;False
2022-01-09;34;97;8;0;5;False
2022-01-10;25;85;3;0;9;False
2022-01-11;27;79;1;0;8;False
2022-01-12;23;78;1;0;7;False
2022-01-13;25;75;0;0;10;False
2022-01-14;24;77;1;0;8;False
2022-01-15;31;90;0;0;6;False
2022-01-16;32;100;1;0;7;False
2022-01-17;27;80;0;0;6;False
2022-01-18;24;73;1;0;6;False
2022-01-19;20;70;0;1;7;False
2022-01-20;22;68;1;0;5;False
2022-01-21;20;68;0;0;4;False
2022-01-22;26;74;1;0;5;False
2022-01-23;31;83;0;0;7;False
2022-01-24;25;93;0;1;9;False
2022-01-25;24;78;1;0;5;False
2022-01-26;21;68;1;0;6;False
2022-01-27;19;68;1;0;7;False
2022-01-28;20;76;1;1;5;False
2022-01-29;26;76;0;1;6;False
2022-01-30;29;84;1;0;7;False
2022-01-31;25;75;0;0;8;False
