date;Jura holidays;Social mobility;Class issues;Jason Isaacs;air travel;isPartial
2022-01-01;0;12;0;100;30;False
2022-01-02;0;0;0;58;55;False
2022-01-03;0;0;0;36;45;False
2022-01-04;0;19;9;23;47;False
2022-01-05;0;17;0;21;68;False
2022-01-06;6;7;6;10;54;False
2022-01-07;0;22;0;19;56;False
2022-01-08;5;16;0;23;63;False
2022-01-09;0;5;0;6;49;False
2022-01-10;5;0;0;5;85;False
2022-01-11;0;0;0;0;69;False
2022-01-12;0;5;0;6;59;False
2022-01-13;0;22;6;0;88;False
2022-01-14;0;9;0;12;74;False
2022-01-15;0;10;0;0;58;False
2022-01-16;0;7;11;0;63;False
2022-01-17;4;8;0;11;57;False
2022-01-18;0;7;10;6;52;False
2022-01-19;0;17;0;75;66;False
2022-01-20;0;12;0;32;48;False
2022-01-21;0;0;0;29;33;False
2022-01-22;6;0;0;12;47;False
2022-01-23;0;0;0;16;61;False
2022-01-24;0;12;0;23;86;False
2022-01-25;0;9;0;15;43;False
2022-01-26;0;10;0;16;56;False
2022-01-27;0;7;0;16;63;False
2022-01-28;9;13;0;22;44;False
2022-01-29;0;0;0;14;53;False
2022-01-30;0;7;0;10;63;False
2022-01-31;0;11;7;12;73;False
