date;Olafur Eliasson;David Shrigley;The Avengers;Buffy the Vampire Slayer;air travel;isPartial
2022-01-01;0;0;100;23;23;False
2022-01-02;7;8;96;12;43;False
2022-01-03;8;6;99;11;35;False
2022-01-04;0;4;64;19;37;False
2022-01-05;0;10;65;12;53;False
2022-01-06;3;0;50;28;42;False
2022-01-07;5;0;66;17;44;False
2022-01-08;0;6;75;18;49;False
2022-01-09;5;5;88;24;38;False
2022-01-10;8;6;72;19;67;False
2022-01-11;9;4;52;19;54;False
2022-01-12;7;6;44;21;47;False
2022-01-13;4;0;65;9;69;False
2022-01-14;8;7;47;11;58;False
2022-01-15;0;0;86;21;46;False
2022-01-16;0;0;73;26;50;False
2022-01-17;0;0;65;29;45;False
2022-01-18;0;7;38;24;41;False
2022-01-19;0;0;59;14;52;False
2022-01-20;0;0;50;18;37;False
2022-01-21;0;0;44;24;26;False
2022-01-22;5;0;43;11;37;False
2022-01-23;0;3;50;34;48;False
2022-01-24;3;0;57;19;67;False
2022-01-25;7;10;49;18;34;False
2022-01-26;0;6;41;20;44;False
2022-01-27;0;0;38;20;49;False
2022-01-28;0;0;42;16;34;False
2022-01-29;0;3;68;26;41;False
2022-01-30;0;4;38;23;49;False
2022-01-31;0;0;16;12;57;False
