date;the ashes 2021/22;finland;japan;portugal;air travel;isPartial
2022-01-01;0;14;59;55;3;False
2022-01-02;0;13;54;56;5;False
2022-01-03;0;12;53;62;4;False
2022-01-04;0;15;54;63;4;False
2022-01-05;0;17;54;65;6;False
2022-01-06;0;15;51;69;5;False
2022-01-07;0;12;56;64;5;False
2022-01-08;0;14;56;70;5;False
2022-01-09;0;16;60;80;4;False
2022-01-10;0;15;60;66;7;False
2022-01-11;0;14;56;70;6;False
2022-01-12;0;16;54;68;5;False
2022-01-13;0;17;57;79;8;False
2022-01-14;0;15;51;66;6;False
2022-01-15;0;14;64;72;5;False
2022-01-16;0;14;61;90;6;False
2022-01-17;0;12;62;71;5;False
2022-01-18;0;13;55;68;5;False
2022-01-19;0;11;52;66;6;False
2022-01-20;0;16;48;67;4;False
2022-01-21;0;11;49;68;3;False
2022-01-22;0;13;62;70;4;False
2022-01-23;0;16;68;91;5;False
2022-01-24;0;17;64;100;7;False
2022-01-25;0;13;50;90;4;False
2022-01-26;0;13;52;77;5;False
2022-01-27;0;12;57;82;5;False
2022-01-28;0;14;55;92;4;False
2022-01-29;0;11;55;82;5;False
2022-01-30;0;11;56;94;5;False
2022-01-31;0;13;54;97;6;False
