date;scarlett johansson;succession;tom cruise;will smith;air travel;isPartial
2022-01-01;21;79;34;35;6;False
2022-01-02;25;90;30;31;11;False
2022-01-03;21;79;23;25;9;False
2022-01-04;20;83;18;17;10;False
2022-01-05;15;72;15;16;14;False
2022-01-06;13;58;21;19;11;False
2022-01-07;19;71;26;29;11;False
2022-01-08;19;78;29;44;13;False
2022-01-09;20;95;21;35;10;False
2022-01-10;19;100;20;32;17;False
2022-01-11;13;62;14;26;14;False
2022-01-12;13;62;18;22;12;False
2022-01-13;13;68;22;23;18;False
2022-01-14;16;53;21;26;15;False
2022-01-15;20;75;48;27;12;False
2022-01-16;21;71;34;27;13;False
2022-01-17;14;50;20;20;11;False
2022-01-18;15;52;19;24;10;False
2022-01-19;10;44;16;22;13;False
2022-01-20;11;49;20;13;10;False
2022-01-21;13;45;22;19;7;False
2022-01-22;12;54;29;28;9;False
2022-01-23;21;50;27;30;12;False
2022-01-24;9;49;25;19;17;False
2022-01-25;12;43;26;19;9;False
2022-01-26;15;47;21;16;11;False
2022-01-27;9;38;19;17;13;False
2022-01-28;12;38;33;22;9;False
2022-01-29;21;38;37;63;11;False
2022-01-30;15;42;23;30;13;False
2022-01-31;12;34;23;25;15;False
