date;Ian Hislop;Eddie Izzard;AL Kennedy;Paul Merton;air travel;isPartial
2022-01-01;2;60;0;5;10;False
2022-01-02;0;100;0;3;19;False
2022-01-03;5;52;0;3;15;False
2022-01-04;11;36;0;2;16;False
2022-01-05;4;33;0;0;23;False
2022-01-06;0;31;1;0;18;False
2022-01-07;3;39;0;1;19;False
2022-01-08;2;63;0;3;21;False
2022-01-09;0;44;0;4;16;False
2022-01-10;0;35;0;3;29;False
2022-01-11;2;36;3;2;23;False
2022-01-12;0;25;0;7;20;False
2022-01-13;0;26;0;0;30;False
2022-01-14;4;20;3;2;25;False
2022-01-15;0;36;0;3;20;False
2022-01-16;0;31;0;5;21;False
2022-01-17;0;19;0;1;19;False
2022-01-18;3;11;0;5;18;False
2022-01-19;0;7;0;1;22;False
2022-01-20;2;10;0;2;16;False
2022-01-21;2;17;3;2;11;False
2022-01-22;0;22;4;0;16;False
2022-01-23;6;36;0;4;20;False
2022-01-24;0;11;0;0;29;False
2022-01-25;19;7;0;1;15;False
2022-01-26;33;9;0;1;19;False
2022-01-27;13;5;0;0;21;False
2022-01-28;19;8;0;3;15;False
2022-01-29;12;13;0;0;18;False
2022-01-30;10;8;0;0;21;False
2022-01-31;15;7;0;3;25;False
