date;energy customer switching;uk economy;energy service companies;natural gas;air travel;isPartial
2022-01-01;0;33;0;14;34;False
2022-01-02;0;22;0;30;63;False
2022-01-03;0;40;0;32;51;False
2022-01-04;0;57;0;46;54;False
2022-01-05;0;21;0;30;77;False
2022-01-06;0;34;0;40;61;False
2022-01-07;0;52;0;39;63;False
2022-01-08;0;34;11;42;71;False
2022-01-09;0;48;21;26;55;False
2022-01-10;0;59;7;40;97;False
2022-01-11;0;35;0;49;79;False
2022-01-12;0;53;0;51;67;False
2022-01-13;0;53;0;33;100;False
2022-01-14;0;54;0;5;84;False
2022-01-15;0;31;14;28;66;False
2022-01-16;0;36;0;9;72;False
2022-01-17;0;46;0;34;65;False
2022-01-18;0;75;0;31;59;False
2022-01-19;0;53;0;50;74;False
2022-01-20;0;32;0;45;54;False
2022-01-21;0;39;0;38;38;False
2022-01-22;0;41;0;21;53;False
2022-01-23;0;46;0;50;69;False
2022-01-24;0;72;0;65;97;False
2022-01-25;0;48;0;52;49;False
2022-01-26;0;77;0;64;64;False
2022-01-27;0;42;0;48;71;False
2022-01-28;0;46;7;65;49;False
2022-01-29;0;29;0;37;60;False
2022-01-30;0;24;0;33;71;False
2022-01-31;0;57;8;43;82;False
