date;Winter Olympics Beijing 2022;Winter Olympics;Australian lifestyle;Childcare Australia;air travel;isPartial
2022-01-01;0;18;0;0;8;False
2022-01-02;0;52;0;1;15;False
2022-01-03;1;19;0;0;12;False
2022-01-04;0;29;0;1;12;False
2022-01-05;2;22;0;2;18;False
2022-01-06;0;22;0;3;14;False
2022-01-07;0;19;0;0;15;False
2022-01-08;0;31;0;0;16;False
2022-01-09;2;44;2;0;13;False
2022-01-10;1;23;0;2;22;False
2022-01-11;0;19;2;0;18;False
2022-01-12;0;25;0;0;16;False
2022-01-13;2;27;2;2;23;False
2022-01-14;0;19;0;0;19;False
2022-01-15;2;38;0;0;15;False
2022-01-16;3;53;0;0;17;False
2022-01-17;1;40;0;1;15;False
2022-01-18;0;40;0;0;14;False
2022-01-19;2;34;0;1;17;False
2022-01-20;1;31;0;1;13;False
2022-01-21;0;40;0;0;9;False
2022-01-22;2;53;0;0;12;False
2022-01-23;1;78;0;0;16;False
2022-01-24;1;58;2;0;22;False
2022-01-25;1;57;0;0;11;False
2022-01-26;5;57;0;0;15;False
2022-01-27;0;49;0;0;17;False
2022-01-28;1;82;0;4;11;False
2022-01-29;2;69;0;0;14;False
2022-01-30;0;100;1;0;17;False
2022-01-31;1;76;0;2;19;False
