date;astrazeneca;french elections 2022;literature;shipbuilding;air travel;isPartial
2022-01-01;31;0;46;0;10;False
2022-01-02;27;0;55;0;20;False
2022-01-03;29;0;58;4;15;False
2022-01-04;50;0;78;0;16;False
2022-01-05;37;0;73;0;23;False
2022-01-06;37;2;82;0;18;False
2022-01-07;44;0;65;0;17;False
2022-01-08;24;0;62;0;21;False
2022-01-09;24;0;69;3;13;False
2022-01-10;40;0;94;2;27;False
2022-01-11;37;0;74;0;19;False
2022-01-12;33;0;76;2;22;False
2022-01-13;50;0;77;0;25;False
2022-01-14;40;0;63;0;22;False
2022-01-15;19;0;51;0;21;False
2022-01-16;24;0;65;0;25;False
2022-01-17;33;2;79;2;15;False
2022-01-18;31;0;71;0;14;False
2022-01-19;33;0;75;2;21;False
2022-01-20;32;0;72;0;14;False
2022-01-21;39;2;62;2;14;False
2022-01-22;24;0;54;0;12;False
2022-01-23;16;0;68;1;21;False
2022-01-24;33;0;100;0;24;False
2022-01-25;32;3;81;2;15;False
2022-01-26;31;0;70;0;19;False
2022-01-27;33;4;70;0;18;False
2022-01-28;33;3;58;0;18;False
2022-01-29;18;0;57;3;15;False
2022-01-30;16;1;59;0;19;False
2022-01-31;36;0;70;0;23;False
