date;Art and design;Family;Working from home;Engineering;air travel;isPartial
2022-01-01;0;97;2;7;1;False
2022-01-02;0;100;4;8;1;False
2022-01-03;0;93;4;9;1;False
2022-01-04;0;89;7;15;1;False
2022-01-05;0;71;6;16;1;False
2022-01-06;1;75;6;16;1;False
2022-01-07;0;74;5;15;1;False
2022-01-08;0;81;3;10;1;False
2022-01-09;0;91;4;11;1;False
2022-01-10;0;77;6;17;2;False
2022-01-11;0;69;6;17;1;False
2022-01-12;0;73;7;18;1;False
2022-01-13;1;75;6;19;2;False
2022-01-14;1;66;4;16;2;False
2022-01-15;0;87;3;9;1;False
2022-01-16;1;85;4;12;1;False
2022-01-17;0;92;5;18;1;False
2022-01-18;0;74;6;18;1;False
2022-01-19;0;62;8;16;1;False
2022-01-20;1;63;7;17;1;False
2022-01-21;0;66;4;16;1;False
2022-01-22;1;81;3;10;1;False
2022-01-23;0;84;4;10;1;False
2022-01-24;1;84;6;21;2;False
2022-01-25;1;67;6;19;1;False
2022-01-26;0;62;5;18;1;False
2022-01-27;0;59;5;17;1;False
2022-01-28;0;67;10;15;1;False
2022-01-29;0;77;5;10;1;False
2022-01-30;0;81;6;9;1;False
2022-01-31;1;70;8;16;2;False
