date;tonga;new zealand;medical research;vaccination;air travel;isPartial
2022-01-01;0;15;0;14;1;False
2022-01-02;0;16;0;18;2;False
2022-01-03;0;15;0;22;1;False
2022-01-04;0;16;1;27;1;False
2022-01-05;0;13;0;26;2;False
2022-01-06;0;11;0;27;2;False
2022-01-07;0;13;1;23;2;False
2022-01-08;0;13;0;21;2;False
2022-01-09;1;15;1;20;1;False
2022-01-10;0;16;1;22;3;False
2022-01-11;0;13;1;22;2;False
2022-01-12;1;11;0;20;2;False
2022-01-13;1;12;1;22;3;False
2022-01-14;0;10;0;17;2;False
2022-01-15;100;17;0;19;2;False
2022-01-16;73;18;1;17;2;False
2022-01-17;68;14;0;21;2;False
2022-01-18;44;13;0;19;2;False
2022-01-19;19;12;0;18;2;False
2022-01-20;26;12;1;19;1;False
2022-01-21;11;11;1;19;1;False
2022-01-22;9;10;0;17;1;False
2022-01-23;9;18;0;16;2;False
2022-01-24;8;16;0;21;3;False
2022-01-25;4;11;0;19;1;False
2022-01-26;3;11;0;18;2;False
2022-01-27;4;13;0;16;2;False
2022-01-28;2;13;0;17;1;False
2022-01-29;2;13;0;13;2;False
2022-01-30;2;12;1;12;2;False
2022-01-31;1;11;0;21;2;False
