date;Penny Mordaunt;Esther McVey;Democratic Republic of the Congo;English and creative writing;air travel;isPartial
2022-01-01;0;0;0;12;34;False
2022-01-02;5;10;6;10;63;False
2022-01-03;8;4;12;0;51;False
2022-01-04;0;0;0;0;54;False
2022-01-05;5;0;33;0;77;False
2022-01-06;0;0;0;0;61;False
2022-01-07;0;6;0;0;63;False
2022-01-08;0;36;0;9;71;False
2022-01-09;8;0;0;8;55;False
2022-01-10;0;0;6;0;97;False
2022-01-11;0;0;0;6;79;False
2022-01-12;18;5;0;7;67;False
2022-01-13;14;15;0;0;100;False
2022-01-14;10;6;0;0;84;False
2022-01-15;18;9;0;0;66;False
2022-01-16;0;9;7;0;72;False
2022-01-17;32;6;7;10;65;False
2022-01-18;36;0;5;6;59;False
2022-01-19;54;9;0;13;74;False
2022-01-20;12;7;5;0;54;False
2022-01-21;7;4;0;0;38;False
2022-01-22;7;12;0;12;53;False
2022-01-23;11;4;0;0;69;False
2022-01-24;8;15;0;4;97;False
2022-01-25;13;0;0;8;49;False
2022-01-26;14;6;0;0;64;False
2022-01-27;0;0;0;0;71;False
2022-01-28;0;0;0;0;49;False
2022-01-29;21;29;0;7;60;False
2022-01-30;8;5;0;6;71;False
2022-01-31;6;7;10;0;82;False
