date;prince george;malawi;uganda;kyle rittenhouse;air travel;isPartial
2022-01-01;14;10;30;5;11;False
2022-01-02;8;8;33;5;20;False
2022-01-03;6;13;26;9;17;False
2022-01-04;12;9;34;3;17;False
2022-01-05;8;15;34;2;25;False
2022-01-06;5;11;25;6;20;False
2022-01-07;13;12;28;9;21;False
2022-01-08;13;8;30;10;23;False
2022-01-09;16;10;28;9;18;False
2022-01-10;5;34;38;2;31;False
2022-01-11;8;19;28;3;26;False
2022-01-12;12;13;35;10;22;False
2022-01-13;10;16;42;4;32;False
2022-01-14;13;33;21;3;27;False
2022-01-15;10;17;33;9;21;False
2022-01-16;13;20;31;2;23;False
2022-01-17;6;17;30;0;21;False
2022-01-18;2;43;31;3;19;False
2022-01-19;6;15;32;2;24;False
2022-01-20;3;20;35;6;18;False
2022-01-21;11;15;33;6;12;False
2022-01-22;13;18;39;4;17;False
2022-01-23;20;13;64;3;22;False
2022-01-24;11;14;44;0;31;False
2022-01-25;7;100;35;0;16;False
2022-01-26;6;32;40;5;21;False
2022-01-27;10;13;35;0;23;False
2022-01-28;12;13;29;5;16;False
2022-01-29;80;9;29;5;19;False
2022-01-30;19;20;30;4;23;False
2022-01-31;11;13;41;7;27;False
