date;Marine life;Gonski reforms;Animal welfare;Veterinary medicine;air travel;isPartial
2022-01-01;5;0;14;0;33;False
2022-01-02;0;0;24;16;80;False
2022-01-03;0;0;9;0;53;False
2022-01-04;12;0;25;0;62;False
2022-01-05;20;0;10;20;94;False
2022-01-06;0;0;38;0;72;False
2022-01-07;0;0;43;8;86;False
2022-01-08;0;0;22;5;75;False
2022-01-09;7;0;21;0;58;False
2022-01-10;5;0;40;5;100;False
2022-01-11;7;0;64;8;78;False
2022-01-12;7;0;21;12;86;False
2022-01-13;9;0;50;0;99;False
2022-01-14;0;0;33;0;95;False
2022-01-15;7;0;26;0;89;False
2022-01-16;10;0;27;13;93;False
2022-01-17;10;0;41;15;65;False
2022-01-18;13;0;40;10;78;False
2022-01-19;0;0;37;6;83;False
2022-01-20;15;0;49;7;47;False
2022-01-21;0;0;34;7;44;False
2022-01-22;10;0;21;9;64;False
2022-01-23;0;0;31;5;81;False
2022-01-24;9;0;41;20;88;False
2022-01-25;13;0;63;28;61;False
2022-01-26;5;0;41;19;78;False
2022-01-27;20;0;28;0;67;False
2022-01-28;25;0;27;6;63;False
2022-01-29;6;0;35;11;47;False
2022-01-30;8;0;20;15;86;False
2022-01-31;0;0;32;11;96;False
