date;Fashion industry;Jeans;Health professions;Venezuela;air travel;isPartial
2022-01-01;2;89;0;2;2;False
2022-01-02;1;94;0;2;4;False
2022-01-03;0;85;0;2;3;False
2022-01-04;1;76;0;2;3;False
2022-01-05;1;73;1;2;4;False
2022-01-06;1;71;0;2;3;False
2022-01-07;1;72;1;3;4;False
2022-01-08;1;86;0;2;4;False
2022-01-09;1;94;0;3;3;False
2022-01-10;1;73;0;3;6;False
2022-01-11;1;70;0;2;4;False
2022-01-12;0;68;1;3;4;False
2022-01-13;2;69;1;4;6;False
2022-01-14;2;70;0;3;5;False
2022-01-15;1;95;0;4;4;False
2022-01-16;1;100;0;4;4;False
2022-01-17;0;65;0;2;4;False
2022-01-18;1;67;1;3;3;False
2022-01-19;1;61;1;3;4;False
2022-01-20;0;66;0;3;3;False
2022-01-21;1;70;1;3;2;False
2022-01-22;1;94;0;2;3;False
2022-01-23;1;92;0;3;4;False
2022-01-24;2;84;1;2;6;False
2022-01-25;0;66;0;3;3;False
2022-01-26;1;71;0;3;4;False
2022-01-27;0;70;0;3;4;False
2022-01-28;1;76;0;5;3;False
2022-01-29;0;94;0;4;3;False
2022-01-30;0;88;0;3;4;False
2022-01-31;1;74;1;2;5;False
