date;novak djokovic;scott morrison;playstation;taiwan;air travel;isPartial
2022-01-01;1;0;51;5;2;False
2022-01-02;1;0;55;4;3;False
2022-01-03;2;1;48;4;3;False
2022-01-04;11;0;41;5;3;False
2022-01-05;54;2;42;6;4;False
2022-01-06;75;2;44;5;3;False
2022-01-07;46;1;40;4;3;False
2022-01-08;40;1;53;5;4;False
2022-01-09;36;1;44;5;3;False
2022-01-10;100;2;41;6;5;False
2022-01-11;41;0;36;6;4;False
2022-01-12;43;0;34;5;4;False
2022-01-13;40;0;36;6;5;False
2022-01-14;75;2;35;5;4;False
2022-01-15;60;0;42;5;4;False
2022-01-16;99;1;43;5;4;False
2022-01-17;28;0;38;5;3;False
2022-01-18;14;0;38;5;3;False
2022-01-19;9;0;34;5;4;False
2022-01-20;8;1;42;6;3;False
2022-01-21;5;0;44;5;2;False
2022-01-22;6;0;47;4;3;False
2022-01-23;3;0;42;4;4;False
2022-01-24;4;0;38;10;5;False
2022-01-25;2;0;38;6;3;False
2022-01-26;2;0;33;6;3;False
2022-01-27;2;0;30;5;4;False
2022-01-28;8;0;37;6;3;False
2022-01-29;6;0;44;4;3;False
2022-01-30;17;0;36;5;4;False
2022-01-31;6;0;35;6;4;False
