date;Energy industry;Tesco;Retail industry;Supermarkets;air travel;isPartial
2022-01-01;0;100;0;3;0;False
2022-01-02;0;69;0;1;0;False
2022-01-03;0;72;0;1;0;False
2022-01-04;0;43;0;1;0;False
2022-01-05;0;40;0;1;0;False
2022-01-06;0;41;0;1;0;False
2022-01-07;0;41;0;1;0;False
2022-01-08;0;46;0;1;0;False
2022-01-09;0;49;0;1;0;False
2022-01-10;0;43;0;1;1;False
2022-01-11;0;39;0;0;0;False
2022-01-12;0;39;0;1;0;False
2022-01-13;0;42;0;1;1;False
2022-01-14;0;36;0;1;0;False
2022-01-15;0;45;0;1;0;False
2022-01-16;0;48;0;1;0;False
2022-01-17;0;36;0;1;0;False
2022-01-18;0;38;0;1;0;False
2022-01-19;0;34;0;1;0;False
2022-01-20;0;36;0;1;0;False
2022-01-21;0;35;0;0;0;False
2022-01-22;0;40;0;1;0;False
2022-01-23;0;46;0;1;0;False
2022-01-24;0;42;0;1;1;False
2022-01-25;0;34;0;1;0;False
2022-01-26;0;38;0;1;0;False
2022-01-27;0;42;0;1;0;False
2022-01-28;0;40;0;1;0;False
2022-01-29;0;43;0;1;0;False
2022-01-30;0;43;0;1;0;False
2022-01-31;0;43;0;1;0;False
