date;Swansea City;London Irish;Exeter;League One;air travel;isPartial
2022-01-01;3;5;86;10;1;False
2022-01-02;5;3;77;9;4;False
2022-01-03;5;2;80;7;3;False
2022-01-04;4;2;87;6;4;False
2022-01-05;5;2;73;3;4;False
2022-01-06;5;3;67;3;3;False
2022-01-07;5;2;94;5;4;False
2022-01-08;14;2;86;12;4;False
2022-01-09;6;3;80;8;3;False
2022-01-10;3;2;82;4;5;False
2022-01-11;6;2;80;9;4;False
2022-01-12;5;2;71;6;4;False
2022-01-13;4;2;80;5;5;False
2022-01-14;5;4;77;5;4;False
2022-01-15;12;9;100;15;4;False
2022-01-16;5;5;84;7;4;False
2022-01-17;6;3;79;4;3;False
2022-01-18;5;2;72;6;3;False
2022-01-19;5;2;71;4;4;False
2022-01-20;7;2;71;5;3;False
2022-01-21;6;1;77;5;3;False
2022-01-22;13;2;76;16;2;False
2022-01-23;6;6;79;5;4;False
2022-01-24;6;3;92;4;5;False
2022-01-25;12;2;72;7;3;False
2022-01-26;6;2;77;5;4;False
2022-01-27;6;2;83;3;3;False
2022-01-28;8;3;85;3;3;False
2022-01-29;17;13;97;17;3;False
2022-01-30;6;5;83;7;4;False
2022-01-31;11;3;77;9;4;False
