date;Iran's nuclear programme;Queer Eye;Lego;Australian Competition and Consumer Commission (ACCC);air travel;isPartial
2022-01-01;0;6;81;0;1;False
2022-01-02;0;7;79;0;2;False
2022-01-03;0;5;70;0;1;False
2022-01-04;0;5;62;0;2;False
2022-01-05;0;5;56;0;2;False
2022-01-06;0;5;50;0;2;False
2022-01-07;0;4;52;0;2;False
2022-01-08;0;6;69;0;2;False
2022-01-09;0;5;72;0;2;False
2022-01-10;0;3;52;0;3;False
2022-01-11;0;3;50;0;2;False
2022-01-12;0;3;49;0;2;False
2022-01-13;0;3;52;0;3;False
2022-01-14;0;2;52;0;2;False
2022-01-15;0;2;100;0;2;False
2022-01-16;0;3;77;0;2;False
2022-01-17;0;3;50;0;2;False
2022-01-18;0;2;46;0;2;False
2022-01-19;0;2;42;0;2;False
2022-01-20;0;2;45;0;2;False
2022-01-21;0;2;50;0;1;False
2022-01-22;0;3;61;0;2;False
2022-01-23;0;2;63;0;2;False
2022-01-24;0;1;50;0;3;False
2022-01-25;0;1;43;0;1;False
2022-01-26;0;1;44;0;2;False
2022-01-27;0;1;41;0;2;False
2022-01-28;0;1;50;0;1;False
2022-01-29;0;2;65;0;2;False
2022-01-30;0;2;61;0;2;False
2022-01-31;0;1;46;0;2;False
