date;Leinster;Plan B;U2;BBC Two;air travel;isPartial
2022-01-01;3;15;26;10;6;False
2022-01-02;3;75;13;7;11;False
2022-01-03;0;42;8;6;9;False
2022-01-04;1;55;8;9;10;False
2022-01-05;0;34;9;7;14;False
2022-01-06;3;24;8;10;11;False
2022-01-07;6;17;10;8;12;False
2022-01-08;7;16;18;10;13;False
2022-01-09;2;11;14;5;10;False
2022-01-10;2;16;12;7;18;False
2022-01-11;2;16;11;6;14;False
2022-01-12;2;10;11;9;12;False
2022-01-13;4;17;11;2;18;False
2022-01-14;3;13;8;5;15;False
2022-01-15;4;25;16;11;12;False
2022-01-16;25;30;15;7;13;False
2022-01-17;4;30;12;11;12;False
2022-01-18;4;32;13;9;11;False
2022-01-19;4;100;18;9;14;False
2022-01-20;3;57;11;10;10;False
2022-01-21;7;30;11;7;7;False
2022-01-22;42;24;16;3;10;False
2022-01-23;9;18;16;8;13;False
2022-01-24;8;33;11;4;18;False
2022-01-25;1;20;12;8;9;False
2022-01-26;3;26;9;10;12;False
2022-01-27;2;19;9;5;13;False
2022-01-28;4;14;17;8;9;False
2022-01-29;17;9;22;12;11;False
2022-01-30;8;12;17;8;13;False
2022-01-31;5;8;13;6;15;False
