date;kardashians;khloe kardashian;chile;nature crisis;air travel;isPartial
2022-01-01;71;26;39;0;10;False
2022-01-02;53;23;41;0;18;False
2022-01-03;28;24;28;0;15;False
2022-01-04;35;79;35;0;16;False
2022-01-05;34;59;40;0;23;False
2022-01-06;21;31;33;0;18;False
2022-01-07;27;25;29;0;19;False
2022-01-08;25;25;29;0;21;False
2022-01-09;29;25;26;0;16;False
2022-01-10;20;28;38;0;29;False
2022-01-11;13;19;35;0;23;False
2022-01-12;21;27;25;0;20;False
2022-01-13;15;18;41;0;30;False
2022-01-14;10;21;31;0;25;False
2022-01-15;23;26;42;0;20;False
2022-01-16;22;32;36;3;21;False
2022-01-17;14;21;40;0;19;False
2022-01-18;21;17;38;0;17;False
2022-01-19;15;16;38;0;22;False
2022-01-20;11;19;26;2;16;False
2022-01-21;16;22;34;2;11;False
2022-01-22;19;22;28;0;16;False
2022-01-23;23;22;34;0;20;False
2022-01-24;25;21;40;0;29;False
2022-01-25;20;20;34;1;15;False
2022-01-26;18;20;35;0;19;False
2022-01-27;13;32;50;2;21;False
2022-01-28;12;35;100;0;15;False
2022-01-29;12;29;40;0;18;False
2022-01-30;12;31;31;0;21;False
2022-01-31;12;23;34;0;24;False
