date;Saracens;Guardian Masterclasses;Lifestyle;Nashville;air travel;isPartial
2022-01-01;26;0;71;27;12;False
2022-01-02;66;0;83;27;22;False
2022-01-03;28;0;82;23;18;False
2022-01-04;25;0;100;19;19;False
2022-01-05;21;0;67;20;26;False
2022-01-06;17;2;81;26;21;False
2022-01-07;28;3;77;25;22;False
2022-01-08;72;0;64;28;25;False
2022-01-09;38;4;80;26;19;False
2022-01-10;26;4;97;28;33;False
2022-01-11;36;0;80;20;27;False
2022-01-12;25;0;78;24;23;False
2022-01-13;22;0;79;32;34;False
2022-01-14;28;0;64;21;29;False
2022-01-15;27;0;85;28;23;False
2022-01-16;33;0;75;28;25;False
2022-01-17;18;0;75;25;22;False
2022-01-18;16;0;84;23;20;False
2022-01-19;13;0;63;18;26;False
2022-01-20;13;2;71;15;19;False
2022-01-21;21;0;66;26;13;False
2022-01-22;35;0;67;42;18;False
2022-01-23;47;3;74;31;24;False
2022-01-24;18;0;80;28;33;False
2022-01-25;22;0;74;22;17;False
2022-01-26;16;0;70;25;22;False
2022-01-27;26;2;76;19;25;False
2022-01-28;35;0;72;24;17;False
2022-01-29;30;0;64;23;21;False
2022-01-30;72;0;71;21;25;False
2022-01-31;27;0;83;22;28;False
