date;transplants;exploration of the moon;éric zemmour;deafness and hearing-impairment;air travel;isPartial
2022-01-01;22;0;0;0;39;False
2022-01-02;20;0;0;0;74;False
2022-01-03;17;0;0;0;57;False
2022-01-04;0;0;21;0;60;False
2022-01-05;17;7;0;0;85;False
2022-01-06;14;0;0;0;67;False
2022-01-07;22;0;0;0;65;False
2022-01-08;16;7;0;0;79;False
2022-01-09;0;0;0;0;49;False
2022-01-10;15;0;0;0;100;False
2022-01-11;16;0;6;0;71;False
2022-01-12;31;8;6;0;82;False
2022-01-13;9;19;0;0;94;False
2022-01-14;20;0;0;0;81;False
2022-01-15;15;17;0;0;79;False
2022-01-16;29;0;0;0;93;False
2022-01-17;15;6;14;0;58;False
2022-01-18;12;0;0;0;52;False
2022-01-19;18;0;0;0;79;False
2022-01-20;9;0;6;0;52;False
2022-01-21;0;0;7;0;51;False
2022-01-22;11;0;0;0;46;False
2022-01-23;15;0;4;0;80;False
2022-01-24;24;5;0;0;91;False
2022-01-25;11;7;0;0;55;False
2022-01-26;10;7;0;0;72;False
2022-01-27;15;10;0;0;66;False
2022-01-28;21;6;0;0;69;False
2022-01-29;20;0;0;0;55;False
2022-01-30;20;0;0;0;73;False
2022-01-31;19;0;0;0;87;False
