date;measles;tennessee;ariana debose;lashana lynch;air travel;isPartial
2022-01-01;22;29;3;0;17;False
2022-01-02;25;32;2;5;31;False
2022-01-03;18;24;0;2;26;False
2022-01-04;21;20;0;7;27;False
2022-01-05;22;35;0;0;38;False
2022-01-06;19;33;0;0;31;False
2022-01-07;5;27;6;4;32;False
2022-01-08;18;34;4;0;36;False
2022-01-09;19;56;5;0;28;False
2022-01-10;20;25;25;3;48;False
2022-01-11;19;37;10;0;39;False
2022-01-12;27;32;0;0;34;False
2022-01-13;29;25;11;0;50;False
2022-01-14;23;27;10;6;42;False
2022-01-15;14;43;9;6;33;False
2022-01-16;18;52;39;0;36;False
2022-01-17;13;48;17;0;32;False
2022-01-18;14;28;9;0;29;False
2022-01-19;20;28;4;0;37;False
2022-01-20;22;25;2;0;27;False
2022-01-21;17;31;0;0;19;False
2022-01-22;19;100;5;0;27;False
2022-01-23;15;62;0;4;34;False
2022-01-24;25;38;0;0;49;False
2022-01-25;24;25;0;0;25;False
2022-01-26;20;28;0;3;32;False
2022-01-27;18;32;3;0;36;False
2022-01-28;24;29;0;5;25;False
2022-01-29;14;34;0;0;30;False
2022-01-30;25;29;0;0;36;False
2022-01-31;22;23;0;0;41;False
