date;World records;Manchester Arena attack;Tanzania;David Dimbleby;air travel;isPartial
2022-01-01;20;9;27;0;32;False
2022-01-02;31;13;56;0;60;False
2022-01-03;32;0;70;0;49;False
2022-01-04;31;0;63;0;51;False
2022-01-05;36;9;79;0;73;False
2022-01-06;25;0;73;0;58;False
2022-01-07;22;12;86;0;60;False
2022-01-08;22;0;78;0;68;False
2022-01-09;19;0;84;0;52;False
2022-01-10;32;0;100;0;92;False
2022-01-11;13;0;86;0;75;False
2022-01-12;22;5;52;0;64;False
2022-01-13;30;0;73;5;95;False
2022-01-14;22;6;65;0;80;False
2022-01-15;22;5;60;0;63;False
2022-01-16;31;0;71;0;68;False
2022-01-17;36;0;63;0;62;False
2022-01-18;16;0;65;7;56;False
2022-01-19;17;5;54;0;71;False
2022-01-20;21;5;78;0;51;False
2022-01-21;20;0;72;0;36;False
2022-01-22;67;0;90;0;50;False
2022-01-23;33;0;79;0;65;False
2022-01-24;28;0;89;6;92;False
2022-01-25;30;0;73;0;47;False
2022-01-26;22;5;77;0;61;False
2022-01-27;18;0;68;14;68;False
2022-01-28;28;0;52;0;47;False
2022-01-29;24;12;64;0;57;False
2022-01-30;26;5;54;0;68;False
2022-01-31;25;0;53;0;78;False
