date;Claude Debussy;Biotechnology industry;Armie Hammer;#MeToo movement;air travel;isPartial
2022-01-01;0;0;46;0;34;False
2022-01-02;4;0;34;0;63;False
2022-01-03;0;0;46;0;51;False
2022-01-04;0;10;39;0;54;False
2022-01-05;0;0;11;7;77;False
2022-01-06;0;5;27;7;61;False
2022-01-07;0;0;33;0;63;False
2022-01-08;31;0;34;0;71;False
2022-01-09;8;0;36;6;55;False
2022-01-10;19;0;24;0;97;False
2022-01-11;0;0;28;0;79;False
2022-01-12;6;8;12;0;67;False
2022-01-13;0;11;17;11;100;False
2022-01-14;0;0;22;10;84;False
2022-01-15;10;0;9;0;66;False
2022-01-16;0;0;19;0;72;False
2022-01-17;0;0;9;0;65;False
2022-01-18;0;0;13;11;59;False
2022-01-19;0;0;7;0;74;False
2022-01-20;5;5;24;0;54;False
2022-01-21;6;8;47;0;38;False
2022-01-22;0;5;27;4;53;False
2022-01-23;0;0;38;4;69;False
2022-01-24;4;0;17;0;97;False
2022-01-25;0;0;6;0;49;False
2022-01-26;0;0;4;9;64;False
2022-01-27;0;12;19;0;71;False
2022-01-28;10;0;22;0;49;False
2022-01-29;0;0;14;0;60;False
2022-01-30;0;0;28;0;71;False
2022-01-31;0;0;19;0;82;False
