date;Washington DC;Houseplants;Online dating;Sussan Ley;air travel;isPartial
2022-01-01;65;28;21;0;33;False
2022-01-02;58;41;38;0;60;False
2022-01-03;41;29;39;0;49;False
2022-01-04;85;29;25;0;52;False
2022-01-05;57;23;22;0;74;False
2022-01-06;81;23;16;0;59;False
2022-01-07;46;26;0;0;61;False
2022-01-08;55;36;29;0;69;False
2022-01-09;72;33;29;0;53;False
2022-01-10;59;10;23;0;93;False
2022-01-11;53;25;25;0;76;False
2022-01-12;59;27;30;0;65;False
2022-01-13;50;27;33;0;96;False
2022-01-14;62;19;17;0;81;False
2022-01-15;72;43;34;7;64;False
2022-01-16;77;31;19;0;69;False
2022-01-17;84;29;16;0;63;False
2022-01-18;56;22;24;0;57;False
2022-01-19;47;13;19;0;72;False
2022-01-20;53;26;26;0;52;False
2022-01-21;52;20;17;4;37;False
2022-01-22;67;39;13;0;51;False
2022-01-23;86;54;11;0;66;False
2022-01-24;100;22;13;0;94;False
2022-01-25;51;26;20;0;48;False
2022-01-26;40;33;8;15;61;False
2022-01-27;50;19;12;0;69;False
2022-01-28;66;25;19;0;48;False
2022-01-29;68;28;16;4;58;False
2022-01-30;75;25;8;0;69;False
2022-01-31;68;22;24;0;79;False
