date;Mark Meadows;Stew;Leftovers;Jonny Bairstow;air travel;isPartial
2022-01-01;0;60;6;0;5;False
2022-01-02;0;78;5;0;10;False
2022-01-03;0;72;8;0;8;False
2022-01-04;0;74;5;1;9;False
2022-01-05;0;73;5;0;12;False
2022-01-06;0;90;7;0;10;False
2022-01-07;1;71;4;20;10;False
2022-01-08;0;86;4;4;11;False
2022-01-09;0;100;6;5;9;False
2022-01-10;0;77;8;3;15;False
2022-01-11;0;65;2;2;13;False
2022-01-12;0;65;4;0;11;False
2022-01-13;0;63;5;1;16;False
2022-01-14;0;52;4;3;13;False
2022-01-15;0;79;4;4;11;False
2022-01-16;0;95;6;0;11;False
2022-01-17;2;72;7;0;10;False
2022-01-18;0;64;3;1;9;False
2022-01-19;0;59;5;1;12;False
2022-01-20;2;51;3;0;9;False
2022-01-21;0;51;4;0;6;False
2022-01-22;0;69;4;0;8;False
2022-01-23;0;80;3;0;11;False
2022-01-24;1;66;5;0;15;False
2022-01-25;0;64;3;1;8;False
2022-01-26;1;62;5;0;10;False
2022-01-27;1;49;3;0;11;False
2022-01-28;0;42;3;0;8;False
2022-01-29;2;61;5;0;10;False
2022-01-30;1;76;6;1;11;False
2022-01-31;1;63;2;0;13;False
