date;Toulouse;Hallé Orchestra;Mark Elder;Chelsea Women;air travel;isPartial
2022-01-01;21;0;5;9;13;False
2022-01-02;25;0;0;11;25;False
2022-01-03;19;0;0;7;20;False
2022-01-04;17;0;0;4;21;False
2022-01-05;15;0;3;11;30;False
2022-01-06;26;0;8;4;24;False
2022-01-07;21;0;2;10;25;False
2022-01-08;15;0;0;11;28;False
2022-01-09;23;0;0;12;22;False
2022-01-10;32;0;0;9;38;False
2022-01-11;26;0;3;10;31;False
2022-01-12;27;0;0;9;26;False
2022-01-13;31;0;0;9;39;False
2022-01-14;27;0;5;8;33;False
2022-01-15;100;0;0;15;26;False
2022-01-16;32;0;0;14;28;False
2022-01-17;21;0;0;0;25;False
2022-01-18;20;0;0;7;23;False
2022-01-19;26;0;0;14;29;False
2022-01-20;21;0;0;8;21;False
2022-01-21;23;0;0;13;15;False
2022-01-22;21;0;0;8;21;False
2022-01-23;32;0;0;30;27;False
2022-01-24;32;0;2;10;38;False
2022-01-25;34;0;2;6;19;False
2022-01-26;21;0;3;24;25;False
2022-01-27;19;0;0;9;28;False
2022-01-28;14;0;0;7;19;False
2022-01-29;28;0;0;18;23;False
2022-01-30;24;0;0;8;28;False
2022-01-31;28;0;0;0;32;False
