date;net zero;metropolitan police;croydon;pensions;air travel;isPartial
2022-01-01;0;3;86;11;4;False
2022-01-02;1;1;92;13;7;False
2022-01-03;1;2;88;17;5;False
2022-01-04;3;3;95;37;6;False
2022-01-05;4;3;86;31;8;False
2022-01-06;5;2;88;31;6;False
2022-01-07;3;2;94;25;7;False
2022-01-08;2;3;88;18;7;False
2022-01-09;2;2;79;16;6;False
2022-01-10;8;5;88;36;10;False
2022-01-11;5;4;85;32;8;False
2022-01-12;6;5;100;35;7;False
2022-01-13;7;2;92;42;10;False
2022-01-14;5;4;94;28;9;False
2022-01-15;3;4;95;19;7;False
2022-01-16;3;1;79;17;7;False
2022-01-17;10;4;91;34;7;False
2022-01-18;7;4;81;39;6;False
2022-01-19;8;3;78;31;8;False
2022-01-20;8;4;77;33;6;False
2022-01-21;6;4;88;46;4;False
2022-01-22;2;3;86;16;6;False
2022-01-23;2;3;73;17;7;False
2022-01-24;9;5;90;39;10;False
2022-01-25;9;5;76;31;5;False
2022-01-26;5;2;78;41;7;False
2022-01-27;6;3;84;33;7;False
2022-01-28;7;5;95;37;5;False
2022-01-29;0;3;98;21;6;False
2022-01-30;3;2;81;18;7;False
2022-01-31;6;3;95;38;9;False
