date;Tomatoes;Mexican food and drink;Tofu;Sinéad O'Connor;air travel;isPartial
2022-01-01;82;0;31;0;6;False
2022-01-02;90;0;39;0;10;False
2022-01-03;75;0;48;1;9;False
2022-01-04;70;0;45;0;9;False
2022-01-05;64;0;37;1;13;False
2022-01-06;64;0;38;0;10;False
2022-01-07;65;0;39;0;11;False
2022-01-08;96;0;86;1;12;False
2022-01-09;88;0;69;0;9;False
2022-01-10;63;0;44;0;16;False
2022-01-11;55;0;41;0;13;False
2022-01-12;70;0;36;0;11;False
2022-01-13;65;0;42;0;17;False
2022-01-14;64;0;32;0;14;False
2022-01-15;100;0;48;0;11;False
2022-01-16;79;0;52;0;12;False
2022-01-17;65;0;36;0;11;False
2022-01-18;51;0;40;0;10;False
2022-01-19;55;0;41;0;12;False
2022-01-20;46;0;47;0;9;False
2022-01-21;64;0;27;0;6;False
2022-01-22;80;0;41;0;9;False
2022-01-23;78;0;47;1;11;False
2022-01-24;69;0;48;1;16;False
2022-01-25;56;0;40;0;8;False
2022-01-26;59;0;37;0;11;False
2022-01-27;57;0;31;0;12;False
2022-01-28;62;0;31;1;8;False
2022-01-29;78;0;35;0;10;False
2022-01-30;70;0;37;0;12;False
2022-01-31;57;0;46;0;14;False
