date;Prince Philip;Tony Abbott;Aviva;Flooding;air travel;isPartial
2022-01-01;11;0;25;6;5;False
2022-01-02;11;0;32;8;9;False
2022-01-03;9;0;40;10;7;False
2022-01-04;9;0;97;8;8;False
2022-01-05;5;2;90;12;11;False
2022-01-06;9;0;86;9;9;False
2022-01-07;9;0;77;8;9;False
2022-01-08;7;0;44;10;10;False
2022-01-09;9;0;37;7;8;False
2022-01-10;9;1;94;8;14;False
2022-01-11;8;0;82;10;11;False
2022-01-12;8;0;71;8;10;False
2022-01-13;19;0;86;6;14;False
2022-01-14;49;0;75;6;12;False
2022-01-15;21;0;44;5;9;False
2022-01-16;11;1;38;9;10;False
2022-01-17;7;1;91;8;9;False
2022-01-18;9;1;79;9;8;False
2022-01-19;10;0;69;9;11;False
2022-01-20;9;0;76;8;8;False
2022-01-21;9;0;71;7;5;False
2022-01-22;8;0;37;6;8;False
2022-01-23;7;0;38;7;10;False
2022-01-24;11;2;100;11;14;False
2022-01-25;6;1;79;9;7;False
2022-01-26;6;0;83;10;9;False
2022-01-27;11;0;77;8;10;False
2022-01-28;7;0;76;9;7;False
2022-01-29;8;0;37;10;9;False
2022-01-30;5;1;41;10;10;False
2022-01-31;8;0;91;10;12;False
