date;Ruth Bader Ginsburg;J Sainsbury;Nitrous oxide (laughing gas);Toronto;air travel;isPartial
2022-01-01;3;0;0;100;12;False
2022-01-02;2;0;0;92;23;False
2022-01-03;2;0;0;88;19;False
2022-01-04;3;0;0;80;20;False
2022-01-05;4;0;0;74;28;False
2022-01-06;0;5;0;78;22;False
2022-01-07;4;0;0;71;23;False
2022-01-08;0;2;0;82;26;False
2022-01-09;2;0;0;98;20;False
2022-01-10;2;0;3;77;35;False
2022-01-11;0;2;0;91;29;False
2022-01-12;0;0;0;74;24;False
2022-01-13;0;0;5;78;36;False
2022-01-14;0;0;0;60;30;False
2022-01-15;0;5;0;90;24;False
2022-01-16;0;0;4;100;26;False
2022-01-17;0;0;4;94;24;False
2022-01-18;0;0;2;90;21;False
2022-01-19;5;0;0;66;27;False
2022-01-20;0;4;0;73;20;False
2022-01-21;0;5;2;79;14;False
2022-01-22;3;0;0;71;19;False
2022-01-23;4;3;0;84;25;False
2022-01-24;0;0;4;88;35;False
2022-01-25;3;1;0;73;18;False
2022-01-26;3;2;4;81;23;False
2022-01-27;0;0;0;65;26;False
2022-01-28;3;0;0;70;18;False
2022-01-29;4;0;2;84;22;False
2022-01-30;0;0;2;81;26;False
2022-01-31;2;3;0;71;30;False
