date;Wisconsin;Southampton;Alexei Navalny;New England Revolution;air travel;isPartial
2022-01-01;1;49;0;0;1;False
2022-01-02;1;50;0;0;2;False
2022-01-03;2;48;0;0;2;False
2022-01-04;1;62;0;0;2;False
2022-01-05;1;54;0;0;2;False
2022-01-06;1;49;0;0;2;False
2022-01-07;1;51;0;0;2;False
2022-01-08;1;65;0;0;2;False
2022-01-09;1;54;0;0;2;False
2022-01-10;1;55;0;0;3;False
2022-01-11;1;93;0;0;2;False
2022-01-12;1;59;0;0;2;False
2022-01-13;1;55;0;0;3;False
2022-01-14;1;48;0;0;3;False
2022-01-15;1;70;0;0;2;False
2022-01-16;1;59;0;0;2;False
2022-01-17;1;53;0;0;2;False
2022-01-18;1;49;0;0;2;False
2022-01-19;1;46;0;0;2;False
2022-01-20;1;47;0;0;2;False
2022-01-21;0;49;0;0;1;False
2022-01-22;1;100;0;0;2;False
2022-01-23;2;52;0;0;2;False
2022-01-24;2;58;0;0;3;False
2022-01-25;1;48;0;0;2;False
2022-01-26;1;50;0;0;2;False
2022-01-27;1;48;0;0;2;False
2022-01-28;1;54;0;0;2;False
2022-01-29;1;60;0;0;2;False
2022-01-30;1;50;0;0;2;False
2022-01-31;1;58;0;0;3;False
