date;Emmerson Mnangagwa;Bastille;Young adult;Alex Wheatle;air travel;isPartial
2022-01-01;3;18;7;0;18;False
2022-01-02;0;16;9;0;33;False
2022-01-03;0;8;3;0;27;False
2022-01-04;0;11;9;0;29;False
2022-01-05;4;13;9;0;41;False
2022-01-06;0;19;7;0;33;False
2022-01-07;0;17;81;3;34;False
2022-01-08;3;25;100;0;38;False
2022-01-09;0;19;18;0;29;False
2022-01-10;0;20;15;0;52;False
2022-01-11;0;22;9;0;42;False
2022-01-12;0;14;10;0;36;False
2022-01-13;0;17;10;0;53;False
2022-01-14;0;21;9;0;45;False
2022-01-15;0;23;11;0;35;False
2022-01-16;0;20;10;0;38;False
2022-01-17;0;12;14;0;35;False
2022-01-18;0;19;7;3;31;False
2022-01-19;0;12;14;0;40;False
2022-01-20;3;14;11;0;29;False
2022-01-21;0;24;0;0;20;False
2022-01-22;0;21;12;0;28;False
2022-01-23;0;20;9;0;37;False
2022-01-24;0;20;9;0;52;False
2022-01-25;0;22;12;0;26;False
2022-01-26;0;18;11;0;34;False
2022-01-27;0;13;14;0;38;False
2022-01-28;0;22;11;5;26;False
2022-01-29;7;24;11;0;32;False
2022-01-30;0;18;11;0;38;False
2022-01-31;7;20;11;0;44;False
