date;Rugby union;Liz Truss;House of Commons;Foreign policy;air travel;isPartial
2022-01-01;27;9;1;0;7;False
2022-01-02;34;17;4;2;13;False
2022-01-03;19;10;4;7;11;False
2022-01-04;6;12;7;4;10;False
2022-01-05;14;6;15;3;17;False
2022-01-06;13;7;4;3;14;False
2022-01-07;19;6;4;3;13;False
2022-01-08;35;5;6;0;13;False
2022-01-09;31;22;2;3;8;False
2022-01-10;15;9;11;4;21;False
2022-01-11;20;11;18;1;14;False
2022-01-12;35;49;34;2;14;False
2022-01-13;16;51;18;1;17;False
2022-01-14;20;59;10;2;16;False
2022-01-15;46;32;7;2;16;False
2022-01-16;41;20;8;3;17;False
2022-01-17;19;11;7;2;10;False
2022-01-18;15;25;9;2;14;False
2022-01-19;15;25;24;0;15;False
2022-01-20;15;17;12;4;10;False
2022-01-21;24;20;10;2;8;False
2022-01-22;52;11;5;2;11;False
2022-01-23;31;13;5;2;14;False
2022-01-24;21;15;11;6;18;False
2022-01-25;13;17;10;2;10;False
2022-01-26;16;52;21;3;13;False
2022-01-27;15;100;9;3;12;False
2022-01-28;25;44;9;3;10;False
2022-01-29;63;14;7;2;12;False
2022-01-30;36;62;15;4;15;False
2022-01-31;19;41;57;5;18;False
