date;tesco;sadiq khan;tom watson;trinidad and tobago;air travel;isPartial
2022-01-01;100;0;2;0;0;False
2022-01-02;69;0;1;0;0;False
2022-01-03;72;0;1;0;0;False
2022-01-04;43;1;0;0;0;False
2022-01-05;40;0;0;0;0;False
2022-01-06;41;0;0;0;0;False
2022-01-07;41;0;0;0;0;False
2022-01-08;46;0;0;0;0;False
2022-01-09;49;0;0;0;0;False
2022-01-10;43;0;0;0;1;False
2022-01-11;39;0;0;0;0;False
2022-01-12;39;0;0;0;0;False
2022-01-13;42;0;0;0;1;False
2022-01-14;36;0;0;0;0;False
2022-01-15;45;0;0;0;0;False
2022-01-16;48;0;0;0;0;False
2022-01-17;36;0;0;0;0;False
2022-01-18;38;0;0;0;0;False
2022-01-19;34;0;0;0;0;False
2022-01-20;36;0;0;0;0;False
2022-01-21;35;0;0;0;0;False
2022-01-22;40;0;0;0;0;False
2022-01-23;46;0;0;0;0;False
2022-01-24;42;0;0;0;1;False
2022-01-25;34;0;0;0;0;False
2022-01-26;38;0;0;0;0;False
2022-01-27;42;0;0;0;0;False
2022-01-28;40;0;0;0;0;False
2022-01-29;43;0;0;0;0;False
2022-01-30;43;0;0;0;0;False
2022-01-31;43;0;0;0;0;False
