date;sir david amess;women;covid 19;thailand;air travel;isPartial
2022-01-01;0;79;25;9;1;False
2022-01-02;0;95;31;10;1;False
2022-01-03;0;92;32;10;1;False
2022-01-04;0;70;32;11;1;False
2022-01-05;0;77;28;10;1;False
2022-01-06;0;68;24;8;1;False
2022-01-07;0;75;24;10;1;False
2022-01-08;0;95;22;10;1;False
2022-01-09;0;95;23;10;1;False
2022-01-10;0;78;25;9;2;False
2022-01-11;0;78;25;9;1;False
2022-01-12;0;78;22;9;1;False
2022-01-13;0;81;24;8;2;False
2022-01-14;0;71;16;6;1;False
2022-01-15;0;91;20;11;1;False
2022-01-16;0;98;18;10;1;False
2022-01-17;0;85;21;9;1;False
2022-01-18;0;79;20;8;1;False
2022-01-19;0;66;20;8;1;False
2022-01-20;0;72;18;9;1;False
2022-01-21;0;75;15;8;1;False
2022-01-22;0;87;14;12;1;False
2022-01-23;0;100;16;13;1;False
2022-01-24;0;94;20;10;2;False
2022-01-25;0;76;14;9;1;False
2022-01-26;0;75;15;9;1;False
2022-01-27;0;75;16;8;1;False
2022-01-28;0;79;15;8;1;False
2022-01-29;0;92;14;9;1;False
2022-01-30;0;97;16;9;1;False
2022-01-31;0;76;17;9;1;False
