date;Reality TV;Jamie Dornan;Travel TV;Factual TV;air travel;isPartial
2022-01-01;7;83;4;0;5;False
2022-01-02;5;100;4;0;9;False
2022-01-03;5;81;5;0;9;False
2022-01-04;4;59;3;0;12;False
2022-01-05;3;39;5;0;12;False
2022-01-06;5;38;4;0;11;False
2022-01-07;3;44;4;0;12;False
2022-01-08;7;49;5;0;10;False
2022-01-09;9;48;4;0;9;False
2022-01-10;5;30;3;1;14;False
2022-01-11;5;36;3;0;11;False
2022-01-12;4;24;3;1;11;False
2022-01-13;3;29;3;0;14;False
2022-01-14;3;19;2;0;12;False
2022-01-15;5;52;2;0;10;False
2022-01-16;3;45;3;0;12;False
2022-01-17;3;29;3;0;7;False
2022-01-18;5;18;5;0;10;False
2022-01-19;4;22;3;0;10;False
2022-01-20;2;25;0;0;7;False
2022-01-21;3;33;3;2;6;False
2022-01-22;4;36;2;0;10;False
2022-01-23;5;34;4;0;11;False
2022-01-24;4;33;5;1;15;False
2022-01-25;2;22;3;0;8;False
2022-01-26;3;21;3;0;11;False
2022-01-27;3;15;2;0;9;False
2022-01-28;3;23;2;0;8;False
2022-01-29;3;26;4;0;9;False
2022-01-30;4;23;3;0;13;False
2022-01-31;5;19;0;0;13;False
