date;Rufus Norris;Sausages;ITN;Die Hard;air travel;isPartial
2022-01-01;0;73;4;42;10;False
2022-01-02;1;76;5;69;18;False
2022-01-03;0;68;6;45;15;False
2022-01-04;0;73;0;28;16;False
2022-01-05;0;71;0;19;22;False
2022-01-06;0;69;8;13;18;False
2022-01-07;2;61;6;19;18;False
2022-01-08;2;83;4;24;21;False
2022-01-09;0;95;1;22;16;False
2022-01-10;4;79;9;12;28;False
2022-01-11;0;75;10;10;23;False
2022-01-12;0;71;7;12;20;False
2022-01-13;0;98;12;17;29;False
2022-01-14;1;51;5;8;24;False
2022-01-15;0;86;9;14;19;False
2022-01-16;0;100;5;14;21;False
2022-01-17;0;68;5;10;19;False
2022-01-18;0;77;7;11;17;False
2022-01-19;0;62;6;9;22;False
2022-01-20;2;70;7;13;16;False
2022-01-21;0;64;8;14;11;False
2022-01-22;2;81;5;16;15;False
2022-01-23;0;87;4;13;20;False
2022-01-24;0;79;10;12;28;False
2022-01-25;0;65;9;14;14;False
2022-01-26;0;69;11;8;19;False
2022-01-27;0;55;3;9;21;False
2022-01-28;0;62;6;16;14;False
2022-01-29;0;70;5;15;17;False
2022-01-30;0;62;0;15;21;False
2022-01-31;3;59;5;6;24;False
