date;Women's shirts;Women's tops;Women's trousers;Roger Federer;air travel;isPartial
2022-01-01;8;19;28;3;5;False
2022-01-02;10;21;33;4;14;False
2022-01-03;11;17;38;10;13;False
2022-01-04;8;11;29;7;15;False
2022-01-05;6;12;16;5;16;False
2022-01-06;4;14;24;15;13;False
2022-01-07;4;10;27;8;14;False
2022-01-08;8;22;32;10;15;False
2022-01-09;10;12;35;13;12;False
2022-01-10;7;19;23;13;20;False
2022-01-11;10;11;26;8;15;False
2022-01-12;7;14;28;7;17;False
2022-01-13;10;14;27;10;19;False
2022-01-14;5;16;27;11;18;False
2022-01-15;10;18;45;10;15;False
2022-01-16;11;12;34;22;16;False
2022-01-17;5;15;30;18;13;False
2022-01-18;6;13;28;15;14;False
2022-01-19;8;13;27;12;17;False
2022-01-20;6;14;26;11;12;False
2022-01-21;6;14;24;10;10;False
2022-01-22;7;20;27;8;10;False
2022-01-23;5;17;34;13;18;False
2022-01-24;7;18;30;9;19;False
2022-01-25;8;14;21;9;11;False
2022-01-26;10;16;31;6;15;False
2022-01-27;11;8;24;4;13;False
2022-01-28;6;18;26;14;13;False
2022-01-29;5;11;28;11;12;False
2022-01-30;8;19;33;100;16;False
2022-01-31;9;17;25;28;18;False
