date;New Zealand cricket team;A24;Buckinghamshire holidays;Dragons' Den;air travel;isPartial
2022-01-01;0;2;0;4;3;False
2022-01-02;2;1;0;7;5;False
2022-01-03;0;0;0;9;4;False
2022-01-04;1;1;1;18;4;False
2022-01-05;0;1;1;14;6;False
2022-01-06;0;1;0;100;5;False
2022-01-07;0;2;0;32;5;False
2022-01-08;1;1;0;19;5;False
2022-01-09;0;0;0;16;4;False
2022-01-10;0;1;0;13;7;False
2022-01-11;0;2;1;11;6;False
2022-01-12;0;2;1;12;5;False
2022-01-13;0;3;0;75;8;False
2022-01-14;0;2;0;22;6;False
2022-01-15;0;2;0;18;5;False
2022-01-16;0;1;0;18;5;False
2022-01-17;0;1;0;11;5;False
2022-01-18;0;1;0;12;4;False
2022-01-19;0;2;0;12;6;False
2022-01-20;0;1;0;88;4;False
2022-01-21;0;2;0;35;3;False
2022-01-22;0;1;0;20;4;False
2022-01-23;0;2;0;21;5;False
2022-01-24;0;2;0;16;7;False
2022-01-25;0;1;0;12;4;False
2022-01-26;1;1;0;14;5;False
2022-01-27;0;1;0;58;5;False
2022-01-28;0;2;0;26;4;False
2022-01-29;1;1;0;18;5;False
2022-01-30;0;1;1;16;5;False
2022-01-31;0;0;0;12;6;False
