date;migrant crossings;floods;snow;australia bushfires;air travel;isPartial
2022-01-01;0;1;82;0;2;False
2022-01-02;0;1;88;0;3;False
2022-01-03;0;1;76;0;2;False
2022-01-04;1;1;91;0;2;False
2022-01-05;0;1;88;0;4;False
2022-01-06;0;1;94;0;3;False
2022-01-07;0;1;96;0;3;False
2022-01-08;0;2;82;1;3;False
2022-01-09;0;1;73;0;3;False
2022-01-10;0;2;59;0;4;False
2022-01-11;0;2;53;0;4;False
2022-01-12;0;2;59;0;3;False
2022-01-13;0;1;56;0;5;False
2022-01-14;0;1;67;0;4;False
2022-01-15;0;1;82;0;3;False
2022-01-16;0;1;100;0;3;False
2022-01-17;0;1;73;0;3;False
2022-01-18;0;1;69;0;3;False
2022-01-19;0;1;68;0;3;False
2022-01-20;0;1;62;0;2;False
2022-01-21;0;1;67;0;2;False
2022-01-22;0;0;70;0;2;False
2022-01-23;0;1;82;0;3;False
2022-01-24;0;1;87;0;4;False
2022-01-25;0;0;86;0;2;False
2022-01-26;0;1;86;0;3;False
2022-01-27;0;1;72;0;3;False
2022-01-28;0;2;74;0;2;False
2022-01-29;0;1;74;0;3;False
2022-01-30;1;1;78;0;3;False
2022-01-31;0;1;57;0;4;False
