date;sheila hutchinson books;berney marshes & breydon water -rspb;berney arms windmill;housing;air travel;isPartial
2022-01-01;0;0;0;35;2;False
2022-01-02;0;0;0;43;3;False
2022-01-03;0;0;0;52;3;False
2022-01-04;0;0;0;83;2;False
2022-01-05;0;0;0;86;4;False
2022-01-06;0;0;0;80;3;False
2022-01-07;0;0;0;75;3;False
2022-01-08;0;0;0;43;3;False
2022-01-09;0;0;0;47;2;False
2022-01-10;0;0;0;94;5;False
2022-01-11;0;0;0;84;3;False
2022-01-12;0;0;0;87;3;False
2022-01-13;0;0;0;89;4;False
2022-01-14;0;0;0;79;4;False
2022-01-15;0;0;0;47;4;False
2022-01-16;0;0;0;48;4;False
2022-01-17;0;0;0;89;2;False
2022-01-18;0;0;0;81;3;False
2022-01-19;0;0;0;79;3;False
2022-01-20;0;0;0;74;2;False
2022-01-21;0;0;0;79;2;False
2022-01-22;0;0;1;48;3;False
2022-01-23;0;0;0;51;3;False
2022-01-24;0;0;0;100;4;False
2022-01-25;0;0;0;81;2;False
2022-01-26;0;0;0;80;3;False
2022-01-27;0;0;0;85;3;False
2022-01-28;0;0;0;78;2;False
2022-01-29;0;0;0;47;3;False
2022-01-30;0;0;0;46;4;False
2022-01-31;0;0;0;91;4;False
