date;care homes;pregnancy;burnley;dating apps;air travel;isPartial
2022-01-01;4;84;31;2;1;False
2022-01-02;5;96;71;3;3;False
2022-01-03;6;96;30;2;2;False
2022-01-04;8;100;24;2;2;False
2022-01-05;11;91;23;1;3;False
2022-01-06;9;86;23;2;2;False
2022-01-07;7;84;24;1;2;False
2022-01-08;5;84;39;2;3;False
2022-01-09;5;92;22;2;2;False
2022-01-10;9;87;23;1;4;False
2022-01-11;8;88;30;2;3;False
2022-01-12;10;86;30;2;3;False
2022-01-13;10;87;32;1;3;False
2022-01-14;7;80;35;1;3;False
2022-01-15;6;89;32;2;3;False
2022-01-16;5;91;25;2;3;False
2022-01-17;8;86;31;1;2;False
2022-01-18;8;79;27;1;2;False
2022-01-19;12;79;22;1;3;False
2022-01-20;9;79;25;1;2;False
2022-01-21;8;80;31;1;2;False
2022-01-22;6;89;34;2;2;False
2022-01-23;6;86;88;2;3;False
2022-01-24;10;96;31;2;3;False
2022-01-25;7;81;24;2;2;False
2022-01-26;11;82;24;2;3;False
2022-01-27;11;85;26;1;2;False
2022-01-28;9;86;29;2;3;False
2022-01-29;6;82;31;2;2;False
2022-01-30;5;82;27;2;3;False
2022-01-31;10;91;31;2;3;False
