date;Harrods;Advertising;Theatre;US foreign policy;air travel;isPartial
2022-01-01;14;3;60;0;1;False
2022-01-02;14;4;65;0;2;False
2022-01-03;12;3;59;0;2;False
2022-01-04;11;5;62;0;1;False
2022-01-05;9;6;60;0;2;False
2022-01-06;8;5;59;0;2;False
2022-01-07;9;6;66;0;2;False
2022-01-08;11;3;70;0;2;False
2022-01-09;11;4;67;0;1;False
2022-01-10;8;6;67;0;3;False
2022-01-11;7;6;65;0;2;False
2022-01-12;7;7;61;0;2;False
2022-01-13;8;6;67;0;2;False
2022-01-14;6;6;63;0;2;False
2022-01-15;10;4;75;0;2;False
2022-01-16;10;3;75;0;2;False
2022-01-17;7;5;61;0;1;False
2022-01-18;7;6;58;0;2;False
2022-01-19;6;7;57;0;2;False
2022-01-20;6;6;63;0;1;False
2022-01-21;7;5;71;0;1;False
2022-01-22;10;4;80;0;2;False
2022-01-23;9;4;73;0;2;False
2022-01-24;9;7;70;0;2;False
2022-01-25;7;6;61;0;1;False
2022-01-26;8;6;66;0;2;False
2022-01-27;8;6;62;0;2;False
2022-01-28;8;5;74;0;1;False
2022-01-29;9;3;100;0;2;False
2022-01-30;8;3;79;0;2;False
2022-01-31;7;6;67;0;3;False
